Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.0B0004.1,Failure,8 December 2010,15:43
,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,No attempt,8 October 2012,00:35
,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41
,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",7 September 2014,05:00
,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,05:52
,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,10 January 2015,09:47
,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,11 February 2015,23:03
,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,2 March 2015,03:50
,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,20:10
,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,27 April 2015,23:03
,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,14:21
,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,Success,22 December 2015,01:29
,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,17 January 2016,18:42
,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,Failure,4 March 2016,23:35
,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT,Success,8 April 2016,20:43
,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6 May 2016,05:21
,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,27 May 2016,21:39
